"varName";"varLabel"
"idstud_FDZ";"Schueler-ID (FDZ)"
"idsch_FDZ";"Schul-ID (FDZ)"
"wgtSTUD";"Schuelergesamtgewicht"
"JKZone";"Jackknife Zone"
"JKrep";"Jackknife Replicate"
"tr_sex";"Geschlecht"
"tr_age";"Alter"
"Emigr";"Zuwanderungshintergrund der Eltern (Elternangabe)"
"EDezh";"Deutsch zu Hause (Elternangabe)"
"EHisei";"HISEI - Highest International Socio-economic Index of Occupational Status (Elternangabe)"
"EHisced_akt";"HISCED 1997: Int. hoechster Schul- und Berufsausbildungsabschluss in der Familie (Elternangabe)"
"ESfmwC";"Gewuenschte Schulart fuer Kind nach Grundschule (Elternangabe)"
"ESfmvC";"Voraussichtliche Schulart fuer Kind nach Grundschule (Elternangabe)"
"SBuecher";"Buecher zu Hause"
"SLesZt";"Lesezeit"
"tr_NotDe";"Halbjahresnote Deutsch"
"tr_NotMa";"Halbjahresnote Mathe"
"tr_Ueber";"Empfehlung fuer weiterfuehrende Schule"
"tr_Wdh_r";"Klassenstufe wiederholt"
"SSkDe_a";"Selbstkonzept Deutsch: zufrieden"
"SSkDe_b";"Selbstkonzept Deutsch: muss mehr lernen als andere"
"SSkDe_c";"Selbstkonzept Deutsch: verstehe das meiste"
"SSkDe_d";"Selbstkonzept Deutsch: kann Aufgaben meistens gut loesen"
"SSkMa_a";"Selbstkonzept Mathe: zufrieden"
"SSkMa_b";"Selbstkonzept Mathe: muss mehr lernen als andere"
"SSkMa_c";"Selbstkonzept Mathe: verstehe das meiste"
"SSkMa_d";"Selbstkonzept Mathe: kann Aufgaben meistens gut loesen"
"SBezMs_a";"Soziale Integration: Mitschueler sind nett zu mir"
"SBezMs_b";"Soziale Integration: Mitschueler troesten mich"
"SBezMs_c";"Soziale Integration: wenige Freunde"
"SBezMs_d";"Soziale Integration: die anderen suchen Streit mit mir"
"SSkDe";"Skalenmittelwert Selbstkonzept Deutsch"
"SSkMa";"Skalenmittelwert Selbstkonzept Mathe"
"SBezMs";"Skalenmittelwert Soziale Integration"
"SKFTN2";"Summenscore Kognitive Faehigkeiten (nonverbal)"
"SKFTV1";"Summenscore Kognitive Faehigkeiten (verbal)"
"wle_lesen";"Kompetenzen Lesen WLE"
"wle_hoeren";"Kompetenzen Zuhoeren WLE"
"wle_mathe";"Kompetenzen Mathematik WLE"
"pv01_lesen";"Kompetenzen Lesen PV1"
"pv02_lesen";"Kompetenzen Lesen PV2"
"pv03_lesen";"Kompetenzen Lesen PV3"
"pv04_lesen";"Kompetenzen Lesen PV4"
"pv05_lesen";"Kompetenzen Lesen PV5"
"pv01_hoeren";"Kompetenzen Zuhoeren PV1"
"pv02_hoeren";"Kompetenzen Zuhoeren PV2"
"pv03_hoeren";"Kompetenzen Zuhoeren PV3"
"pv04_hoeren";"Kompetenzen Zuhoeren PV4"
"pv05_hoeren";"Kompetenzen Zuhoeren PV5"
"pv01_mathe";"Kompetenzen Mathematik PV1"
"pv02_mathe";"Kompetenzen Mathematik PV2"
"pv03_mathe";"Kompetenzen Mathematik PV3"
"pv04_mathe";"Kompetenzen Mathematik PV4"
"pv05_mathe";"Kompetenzen Mathematik PV5"
"Version_v2_09_01_2020";"internes Kennzeichen"
